No,Issuer,Country,Regulator,Capital Framework,Key Capital Instruments,Coverage Priority (1=first),Employer Conflict Risk,Data Source (IR / Pillar 3),Serves Week(s),Notes
1,ING Groep N.V.,Netherlands,ECB SSM / DNB,CRR-CRD (Basel III),AT1 (temporary write-down); T2; SNP,1,Low,https://ing.com/investors/financial-performance/annual-reports,W3 (primary),"Deep AT1 market, no employer relationship — candidate for the first note"
2,Nordea Bank Abp,Finland,ECB SSM / FIN-FSA,CRR-CRD (Basel III),AT1; T2; SNP,1,Low,https://www.nordea.com/en/investors/capital-and-risk-reports-pillar-3,W3 (comparator),Cleanest asset quality in the Nordics — useful as a baseline comparison
3,BNP Paribas SA,France,ECB SSM / ACPR,CRR-CRD (Basel III),AT1; T2; SNP,1,Low,https://invest.bnpparibas/en,W4 (primary),Most complete capital stack among European G-SIBs
4,Barclays PLC,United Kingdom,PRA / FCA,UK CRR,AT1; T2; HoldCo senior,1,Low,https://home.barclays/investor-relations/reports-and-events/financial-results/,W4 (comparator),UK MREL structure versus EU senior non-preferred is worth a note
5,UBS Group AG,Switzerland,FINMA,Swiss TBTF (Basel III+),AT1 (permanent write-down); bail-in senior,1,Low,https://www.ubs.com/global/en/investor-relations/financial-information/pillar-3-disclosures.html,W4 (comparator),Swiss AT1 write-down terms differ from the EU — live subject since 2023
6,Banco Santander S.A.,Spain,ECB SSM / Banco de Espana,CRR-CRD (Basel III),AT1; T2; SNP,1,Low,https://www.santander.com/en/shareholders-and-investors/financial-and-economic-information/pillar-3-disclosures-report,W5 (primary),Emerging market exposure gives a provisioning cycle unlike the Nordics
7,Svenska Handelsbanken AB,Sweden,Finansinspektionen,CRR-CRD (Basel III),AT1; T2,1,Low,https://www.handelsbanken.com/en/investor-relations/debt-investors,W5 (primary),Low risk appetite; an unusually flat provisioning cycle
8,Danske Bank A/S,Denmark,Danish FSA (outside SSM),CRR-CRD (Basel III),AT1; T2; SNP,1,Low,https://danskebank.com/investor-relations/debt,W5 (comparator),Outside SSM but inside CRR — the supervisory difference is itself a subject
9,Societe Generale SA,France,ECB SSM / ACPR,CRR-CRD (Basel III),AT1; T2; SNP,1,Low,https://investors.societegenerale.com/en/financial-non-financial-information/financial-results-publications,W5 (comparator),Same jurisdiction as BNP — natural cross-issuer relative value pair
10,UniCredit S.p.A.,Italy,ECB SSM / Banca d'Italia,CRR-CRD (Basel III),AT1; T2; SNP,1,Low,https://www.unicreditgroup.eu/en/investors/financial-reporting/pillar-3-disclosures.html,W5 (comparator),Sovereign-bank loop is a subject in its own right
